[legalize_heu] log lengths/displacements in physical coords (geometry_scale=6.00)
[legalize_heu] snapped 37 boundary module(s) to die edge

[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(23.00, 23.00)
  Tier 0 [iter=0] running sweeps (h-first)
  Tier 0 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=200 center=(5.06238, 21.4015) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=199 center=(4.92266, 23.3616) dx=-0.0198779 dy=-0.108265 rot90=1 weight=2
    [move_apply] module_id=195 center=(40.2493, 17.5946) dx=0 dy=0.141855 rot90=0 weight=2
    [move_apply] module_id=793 center=(18.643, 5.40452) dx=0.0551558 dy=0 rot90=0 weight=2
    [move_apply] module_id=399 center=(36.3283, 35.3752) dx=-0.0205804 dy=-0.00573785 rot90=0 weight=2
    [move_apply] module_id=687 center=(40.3603, 28.4869) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=762 center=(5.86602, 16.8568) dx=0.0231841 dy=0 rot90=0 weight=2
    [move_apply] module_id=230 center=(36.314, 10.5261) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=525 center=(11.349, 8.99251) dx=0.0720074 dy=-0.0240025 rot90=0 weight=2
    [move_apply] module_id=384 center=(20.5095, 41.1706) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=212 center=(38.8093, 13.4392) dx=0.0960757 dy=-0.0198043 rot90=0 weight=2
    [move_apply] module_id=674 center=(16.8433, 40.3775) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=472 center=(4.74936, 20.2577) dx=0 dy=0.0313573 rot90=1 weight=2
    [move_apply] module_id=432 center=(41.2963, 25.8269) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=522 center=(14.0998, 6.76218) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=704 center=(41.4867, 21.8687) dx=0 dy=0 rot90=0 weight=2
